"#file:///home/avijoy/Downloads/Penalty Shoot-out/Soccer Data-Arnab-Nov-2/20170601_120029_01.MOV -- offset: 11080, duration: 00:25:31.670 / 1531.670 / 1531670, ms per sample: 16.666666666666668"

default		00:00:26.189	00:00:27.509	00:00:01.320	Run-Up
default		00:00:27.509	00:00:27.754	00:00:00.245	Preparation
default		00:00:27.754	00:00:28.504	00:00:00.750	RG RG
default		00:00:28.509	00:00:29.019	00:00:00.510	Follow-Through

default		00:00:50.724	00:00:52.004	00:00:01.280	Run-Up
default		00:00:52.004	00:00:52.264	00:00:00.260	Preparation
default		00:00:52.264	00:00:53.244	00:00:00.980	RG RG
default		00:00:53.244	00:00:53.504	00:00:00.260	Follow-Through

default		00:01:10.004	00:01:11.254	00:00:01.250	Run-Up
default		00:01:11.259	00:01:11.424	00:00:00.165	Preparation
default		00:01:11.424	00:01:12.254	00:00:00.830	RG MG
default		00:01:12.259	00:01:12.769	00:00:00.510	Follow-Through

default		00:02:30.774	00:02:31.994	00:00:01.220	Run-UP
default		00:02:31.994	00:02:32.254	00:00:00.260	Preparation
default		00:02:32.254	00:02:33.004	00:00:00.750	RG Miss
default		00:02:33.009	00:02:33.509	00:00:00.500	Follow-Through

default		00:02:56.110	00:02:57.260	00:00:01.150	Run-Up
default		00:02:57.265	00:02:57.505	00:00:00.240	Preparation
default		00:02:57.505	00:02:58.010	00:00:00.505	RG MG
default		00:02:58.010	00:02:58.510	00:00:00.500	Follow-Through

default		00:03:17.500	00:03:18.500	00:00:01.000	Run-Up
default		00:03:18.500	00:03:18.760	00:00:00.260	Preparation
default		00:03:18.760	00:03:19.770	00:00:01.010	RG RG
default		00:03:19.775	00:03:20.255	00:00:00.480	Follow-Through

default		00:03:38.495	00:03:39.515	00:00:01.020	Run-Up
default		00:03:39.515	00:03:39.760	00:00:00.245	Preparation
default		00:03:39.760	00:03:40.750	00:00:00.990	RG RG
default		00:03:40.755	00:03:41.015	00:00:00.260	Follow-Through

default		00:03:59.775	00:04:00.760	00:00:00.985	Run-Up
default		00:04:00.760	00:04:01.020	00:00:00.260	Preparation
default		00:04:01.020	00:04:02.000	00:00:00.980	RG RG
default		00:04:02.010	00:04:02.270	00:00:00.260	Follow-Through

